id_factura,proveedor,fecha_emision,fecha_vencimiento,monto,moneda,estado
INV-0000,Proveedor_3,2023-10-22,2025-08-09,46161.66,USD,Pendiente
INV-0001,Proveedor_12,2024-11-11,2025-09-15,34393.25,USD,Pendiente
INV-0002,Proveedor_4,2023-12-08,2025-03-06,27788.64,USD,Vencida
INV-0003,Proveedor_20,2025-04-09,2025-07-12,66607.97,ARS,Pagada
INV-0004,Proveedor_1,2024-07-14,2025-08-14,69637.62,ARS,Pendiente
INV-0005,Proveedor_5,2024-11-11,2025-09-21,54334.9,USD,Pendiente
INV-0006,Proveedor_18,2025-01-24,2025-07-22,34695.04,ARS,Pendiente
INV-0007,Proveedor_5,2024-10-05,2025-03-28,44686.85,USD,Vencida
INV-0008,Proveedor_8,2024-06-12,2025-09-07,23909.51,EUR,Pendiente
INV-0009,Proveedor_15,2024-10-14,2025-08-24,37909.74,USD,Pendiente
INV-0010,Proveedor_12,2024-09-19,2024-11-18,13626.02,EUR,Pagada
INV-0011,Proveedor_9,2024-06-26,2025-08-12,52374.87,USD,Pendiente
INV-0012,Proveedor_18,2025-06-07,2025-07-14,67783.24,ARS,Pendiente
INV-0013,Proveedor_6,2025-06-25,2025-08-08,994.94,ARS,Pagada
INV-0014,Proveedor_11,2023-12-19,2025-09-30,40982.83,ARS,Pendiente
INV-0015,Proveedor_5,2023-10-05,2023-11-15,2108.22,EUR,Pagada
INV-0016,Proveedor_19,2024-12-16,2025-09-15,59787.66,ARS,Pendiente
INV-0017,Proveedor_16,2023-10-16,2025-07-11,64157.81,ARS,Pendiente
INV-0018,Proveedor_5,2024-10-04,2025-08-28,33899.79,USD,Pendiente
INV-0019,Proveedor_20,2024-11-03,2025-01-27,40935.5,USD,Pagada
INV-0020,Proveedor_17,2024-01-17,2025-08-20,30176.79,ARS,Pendiente
INV-0021,Proveedor_14,2025-02-05,2025-04-29,8522.48,ARS,Pagada
INV-0022,Proveedor_10,2025-05-23,2025-08-18,19249.69,USD,Pendiente
INV-0023,Proveedor_6,2023-07-18,2025-08-24,45439.9,USD,Pendiente
INV-0024,Proveedor_3,2024-09-09,2025-09-24,74184.19,USD,Pendiente
INV-0025,Proveedor_15,2024-11-26,2025-08-22,13408.52,ARS,Pendiente
INV-0026,Proveedor_20,2024-09-28,2025-08-15,26823.34,ARS,Pendiente
INV-0027,Proveedor_4,2023-08-08,2025-08-03,37712.69,ARS,Pendiente
INV-0028,Proveedor_10,2023-09-15,2023-12-02,47236.85,ARS,Pagada
INV-0029,Proveedor_2,2025-04-18,2025-08-13,45609.86,USD,Pagada
INV-0030,Proveedor_7,2024-03-27,2025-07-29,7082.52,EUR,Pendiente
INV-0031,Proveedor_11,2025-06-10,2025-08-17,70949.0,USD,Pendiente
INV-0032,Proveedor_6,2024-04-07,2025-10-03,30899.3,USD,Pendiente
INV-0033,Proveedor_9,2025-03-18,2025-05-06,35059.26,USD,Vencida
INV-0034,Proveedor_4,2025-01-01,2025-02-23,51781.49,USD,Vencida
INV-0035,Proveedor_4,2025-04-04,2025-09-17,8019.76,EUR,Pendiente
INV-0036,Proveedor_14,2024-01-25,2025-09-09,1150.19,USD,Pendiente
INV-0037,Proveedor_2,2025-02-23,2025-08-21,8034.17,ARS,Pendiente
INV-0038,Proveedor_11,2024-11-08,2025-08-14,27755.86,USD,Pendiente
INV-0039,Proveedor_9,2024-06-27,2025-08-27,39882.3,ARS,Pendiente
INV-0040,Proveedor_5,2024-10-19,2025-09-16,13055.02,ARS,Pendiente
INV-0041,Proveedor_2,2024-02-26,2025-09-09,48456.22,USD,Pendiente
INV-0042,Proveedor_8,2024-05-15,2025-08-08,64397.96,USD,Pendiente
INV-0043,Proveedor_4,2024-10-07,2025-10-03,21781.08,ARS,Pendiente
INV-0044,Proveedor_7,2025-02-17,2025-10-01,30278.8,USD,Pendiente
INV-0045,Proveedor_6,2025-01-15,2025-07-12,53263.36,ARS,Pendiente
INV-0046,Proveedor_19,2024-08-18,2024-11-02,41421.72,ARS,Pagada
INV-0047,Proveedor_3,2024-01-06,2024-05-04,25564.23,USD,Pagada
INV-0048,Proveedor_7,2024-05-20,2025-09-18,74624.09,USD,Pendiente
INV-0049,Proveedor_13,2024-03-04,2025-09-17,9785.56,USD,Pendiente
INV-0050,Proveedor_17,2023-09-02,2025-08-12,54402.88,ARS,Pendiente
INV-0051,Proveedor_15,2024-08-08,2024-10-22,664.77,ARS,Pagada
INV-0052,Proveedor_20,2024-04-16,2024-05-11,11794.36,ARS,Pagada
INV-0053,Proveedor_8,2024-08-04,2025-07-27,1143.09,ARS,Pendiente
INV-0054,Proveedor_4,2023-10-01,2025-09-30,56616.91,USD,Pendiente
INV-0055,Proveedor_18,2023-11-21,2025-07-14,31170.87,USD,Pendiente
INV-0056,Proveedor_10,2024-03-03,2025-07-22,68430.25,ARS,Pendiente
INV-0057,Proveedor_20,2025-02-05,2025-05-12,11994.3,USD,Vencida
INV-0058,Proveedor_3,2023-08-31,2023-12-06,71905.79,ARS,Pagada
INV-0059,Proveedor_14,2025-01-13,2025-02-25,39801.76,ARS,Pagada
INV-0060,Proveedor_4,2024-08-11,2025-08-24,32776.56,EUR,Pendiente
INV-0061,Proveedor_9,2025-06-25,2025-08-20,2677.98,ARS,Pagada
INV-0062,Proveedor_2,2023-12-10,2025-09-01,73409.32,USD,Pendiente
INV-0063,Proveedor_20,2025-06-01,2025-09-05,5683.73,USD,Pendiente
INV-0064,Proveedor_19,2024-09-18,2025-09-22,69053.07,ARS,Pendiente
INV-0065,Proveedor_1,2024-07-02,2025-07-31,73287.88,ARS,Pendiente
INV-0066,Proveedor_16,2023-09-03,2025-08-15,32435.41,USD,Pendiente
INV-0067,Proveedor_3,2025-01-23,2025-04-30,45537.26,USD,Pagada
INV-0068,Proveedor_2,2024-07-23,2024-09-21,74360.72,USD,Pagada
INV-0069,Proveedor_13,2024-01-01,2024-01-28,17598.01,USD,Pagada
INV-0070,Proveedor_7,2023-12-23,2025-10-05,63400.61,USD,Pendiente
INV-0071,Proveedor_12,2024-08-07,2025-09-17,2359.86,USD,Pendiente
INV-0072,Proveedor_12,2023-12-08,2025-08-27,8113.29,USD,Pendiente
INV-0073,Proveedor_14,2024-04-26,2024-05-05,66517.22,USD,Pagada
INV-0074,Proveedor_7,2024-08-15,2025-08-26,48877.47,ARS,Pendiente
INV-0075,Proveedor_13,2025-05-31,2025-08-12,33179.9,USD,Pagada
INV-0076,Proveedor_13,2023-10-16,2025-07-14,38555.07,ARS,Pendiente
INV-0077,Proveedor_11,2024-11-04,2025-06-20,40018.06,USD,Vencida
INV-0078,Proveedor_17,2025-06-04,2025-09-24,65586.65,USD,Pendiente
INV-0079,Proveedor_19,2023-10-21,2025-09-06,64598.97,ARS,Pendiente
INV-0080,Proveedor_5,2024-04-06,2025-07-12,66757.43,USD,Pendiente
INV-0081,Proveedor_16,2023-12-17,2024-04-07,16429.29,USD,Pagada
INV-0082,Proveedor_2,2025-06-04,2025-07-27,23890.62,USD,Pendiente
INV-0083,Proveedor_6,2024-06-13,2024-09-14,56924.27,ARS,Pagada
INV-0084,Proveedor_6,2024-12-15,2025-10-03,43953.57,USD,Pendiente
INV-0085,Proveedor_4,2025-02-03,2025-08-01,4334.06,USD,Pendiente
INV-0086,Proveedor_16,2024-08-08,2025-08-04,72308.4,USD,Pendiente
INV-0087,Proveedor_4,2024-07-22,2025-07-26,44341.16,EUR,Pendiente
INV-0088,Proveedor_13,2023-12-26,2025-07-17,59956.43,USD,Pendiente
INV-0089,Proveedor_1,2025-05-14,2025-08-05,3323.01,USD,Pendiente
INV-0090,Proveedor_6,2024-08-21,2025-08-20,72733.24,USD,Pendiente
INV-0091,Proveedor_8,2025-01-17,2025-08-03,71399.9,ARS,Pendiente
INV-0092,Proveedor_18,2023-10-23,2025-08-04,26514.12,USD,Pendiente
INV-0093,Proveedor_11,2023-10-01,2025-09-25,58676.17,ARS,Pendiente
INV-0094,Proveedor_12,2023-12-01,2025-09-30,107.89,ARS,Pendiente
INV-0095,Proveedor_15,2024-07-31,2025-08-24,48192.11,USD,Pendiente
INV-0096,Proveedor_12,2023-07-19,2025-06-24,27053.3,USD,Vencida
INV-0097,Proveedor_13,2023-08-09,2025-08-20,8768.1,ARS,Pendiente
INV-0098,Proveedor_1,2024-04-19,2025-08-07,59052.39,ARS,Pendiente
INV-0099,Proveedor_13,2024-08-08,2024-09-29,14066.46,ARS,Pagada
