Fecha_Inicio_Periodo,Patrimonio_Neto_Inicio,Aportes_Capital,Menos_Distribuciones_Dividendos,Resultado_del_Ejercicio,Otras_Variaciones,Patrimonio_Neto_Cierre
2023-01-01,500000.0,0.0,0.0,50519.33,0.0,550519.33
2024-01-01,550519.33,16239.78,17992.64,36122.65,0.0,584889.12
2025-01-01,584889.12,48796.39,0.0,-6642.7,0.0,627042.81
2026-01-01,627042.81,22169.69,0.0,-17513.95,0.0,631698.55
2027-01-01,631698.55,0.0,9382.17,10299.8,0.0,632616.18
2028-01-01,632616.18,0.0,0.0,26565.79,0.0,659181.97
2029-01-01,659181.97,34301.79,0.0,-22844.32,0.0,670639.44
2030-01-01,670639.44,0.0,0.0,-3507.51,0.0,667131.93
2031-01-01,667131.93,0.0,0.0,-16575.79,0.0,650556.14
2032-01-01,650556.14,46372.82,0.0,42877.45,0.0,739806.41
2033-01-01,739806.41,0.0,0.0,-9666.01,0.0,730140.4
2034-01-01,730140.4,0.0,0.0,68431.01,0.0,798571.41
2035-01-01,798571.41,0.0,7939.74,-25025.0,0.0,765606.67
2036-01-01,765606.67,0.0,0.0,61161.13,0.0,826767.8
2037-01-01,826767.8,0.0,0.0,-14498.34,0.0,812269.46
2038-01-01,812269.46,49475.48,0.0,-8141.28,0.0,853603.66
2039-01-01,853603.66,0.0,0.0,50190.79,0.0,903794.45
2040-01-01,903794.45,24338.63,17946.55,38562.79,0.0,948749.32
2041-01-01,948749.32,22439.29,0.0,50256.68,0.0,1021445.29
2042-01-01,1021445.29,0.0,0.0,-16844.63,0.0,1004600.66
2043-01-01,1004600.66,0.0,0.0,54806.39,0.0,1059407.05
2044-01-01,1059407.05,0.0,0.0,-27203.9,0.0,1032203.15
2045-01-01,1032203.15,35456.42,0.0,25942.78,0.0,1093602.35
2046-01-01,1093602.35,0.0,0.0,-53110.63,0.0,1040491.72
2047-01-01,1040491.72,21590.06,0.0,72266.74,0.0,1134348.52
2048-01-01,1134348.52,0.0,0.0,-58403.93,0.0,1075944.59
2049-01-01,1075944.59,0.0,0.0,58818.42,0.0,1134763.01
2050-01-01,1134763.01,0.0,8419.03,16981.86,0.0,1143325.84
2051-01-01,1143325.84,0.0,12661.21,-15915.21,0.0,1114749.42
2052-01-01,1114749.42,23504.61,0.0,5552.32,0.0,1143806.35
