id_empleado,departamento,puesto,tipo_contrato,fecha_ingreso,salario_bruto_mensual,cargas_sociales_empleador,costo_laboral_total_mensual
EMP-0000,Ventas,Representante de Ventas,Contratado,2015-02-28,97826.64,35688.56,133515.2
EMP-0001,Producción,Ingeniero de Procesos,Medio Tiempo,2021-04-25,59270.08,21497.4,80767.48000000001
EMP-0002,IT,Científico de Datos,Medio Tiempo,2011-04-11,302131.91,86276.62,388408.52999999997
EMP-0003,RRHH,Generalista RRHH,Tiempo Completo,2012-12-30,69651.21,26460.12,96111.33
EMP-0004,Ventas,Gerente de Ventas,Contratado,2017-12-20,139451.43,41378.25,180829.68
EMP-0005,Producción,Ingeniero de Procesos,Contratado,2024-09-17,104890.84,34047.36,138938.2
EMP-0006,RRHH,Generalista RRHH,Tiempo Completo,2012-10-01,99123.23,31334.48,130457.70999999999
EMP-0007,Administración,Asistente Administrativo,Medio Tiempo,2023-05-16,77460.97,25911.75,103372.72
EMP-0008,Marketing,Analista de Marketing,Medio Tiempo,2018-11-07,78489.91,27547.97,106037.88
EMP-0009,Administración,Gerente Administrativo,Contratado,2022-01-28,155913.28,48781.0,204694.28
EMP-0010,Marketing,Especialista de Marketing,Contratado,2013-04-03,67806.8,19944.2,87751.0
EMP-0011,RRHH,Reclutador,Medio Tiempo,2019-03-03,69556.45,23579.42,93135.87
EMP-0012,Marketing,Analista de Marketing,Tiempo Completo,2017-06-19,51466.65,16181.25,67647.9
EMP-0013,RRHH,Generalista RRHH,Medio Tiempo,2024-12-14,92481.01,25973.46,118454.47
EMP-0014,RRHH,Generalista RRHH,Contratado,2023-09-13,43747.0,13536.89,57283.89
EMP-0015,RRHH,Generalista RRHH,Medio Tiempo,2019-08-17,76001.37,26851.75,102853.12
EMP-0016,Ventas,Gerente de Ventas,Tiempo Completo,2011-05-07,247608.89,71349.82,318958.71
EMP-0017,Producción,Operario,Medio Tiempo,2011-12-10,98074.39,30391.4,128465.79000000001
EMP-0018,Marketing,Analista de Marketing,Tiempo Completo,2011-12-04,113977.07,35068.09,149045.16
EMP-0019,RRHH,Reclutador,Tiempo Completo,2011-02-24,83289.22,29600.61,112889.83
EMP-0020,Administración,Asistente Administrativo,Contratado,2022-03-03,73107.77,22009.69,95117.46
EMP-0021,IT,Soporte TI,Contratado,2012-08-15,58609.56,19226.44,77836.0
EMP-0022,Administración,Gerente Administrativo,Contratado,2018-12-13,347958.2,124019.35,471977.55000000005
EMP-0023,Logística,Coordinador Logístico,Contratado,2012-03-22,116552.08,43821.67,160373.75
EMP-0024,Administración,Asistente Administrativo,Contratado,2021-10-18,75858.16,21678.7,97536.86
EMP-0025,Logística,Operario de Bodega,Contratado,2021-04-26,93664.47,33164.41,126828.88
EMP-0026,RRHH,Generalista RRHH,Contratado,2018-05-25,40372.86,14653.18,55026.04
EMP-0027,Ventas,Gerente de Ventas,Tiempo Completo,2010-12-10,175583.27,63592.61,239175.88
EMP-0028,Ventas,Representante de Ventas,Tiempo Completo,2019-11-13,41862.35,12206.57,54068.92
EMP-0029,Producción,Ingeniero de Procesos,Medio Tiempo,2015-04-19,40194.36,13846.11,54040.47
EMP-0030,IT,Soporte TI,Contratado,2013-10-30,112056.61,34753.36,146809.97
EMP-0031,Logística,Operario de Bodega,Contratado,2020-12-11,104895.77,29526.49,134422.26
EMP-0032,Ventas,Gerente de Ventas,Tiempo Completo,2021-09-25,200086.64,57545.77,257632.41
EMP-0033,Administración,Asistente Administrativo,Tiempo Completo,2011-02-16,55795.39,16505.02,72300.41
EMP-0034,RRHH,Generalista RRHH,Contratado,2014-05-22,82905.62,24409.93,107315.54999999999
EMP-0035,Marketing,Analista de Marketing,Tiempo Completo,2024-09-22,48012.42,14472.15,62484.57
EMP-0036,Ventas,Representante de Ventas,Contratado,2014-04-18,51268.72,17433.2,68701.92
EMP-0037,IT,Soporte TI,Contratado,2024-04-01,40229.56,14127.02,54356.58
EMP-0038,Ventas,Representante de Ventas,Contratado,2018-10-07,73233.36,21261.91,94495.27
EMP-0039,RRHH,Generalista RRHH,Tiempo Completo,2021-02-18,45437.1,15818.05,61255.149999999994
EMP-0040,RRHH,Generalista RRHH,Tiempo Completo,2023-10-29,47045.99,17576.19,64622.17999999999
EMP-0041,Administración,Gerente Administrativo,Contratado,2019-12-20,269200.15,102002.61,371202.76
EMP-0042,Logística,Operario de Bodega,Medio Tiempo,2012-11-22,119143.56,36938.11,156081.66999999998
EMP-0043,Administración,Asistente Administrativo,Medio Tiempo,2018-11-08,116725.87,42823.84,159549.71
EMP-0044,Marketing,Analista de Marketing,Contratado,2019-03-23,94731.1,28959.57,123690.67000000001
EMP-0045,Marketing,Especialista de Marketing,Medio Tiempo,2018-06-04,108285.09,33382.52,141667.61
EMP-0046,Marketing,Analista de Marketing,Contratado,2016-06-02,48817.27,17108.13,65925.4
EMP-0047,RRHH,Reclutador,Tiempo Completo,2023-09-01,66201.42,19694.59,85896.01
EMP-0048,Finanzas,Contador,Tiempo Completo,2024-11-15,239075.64,77977.9,317053.54000000004
EMP-0049,Administración,Gerente Administrativo,Contratado,2014-09-19,266468.39,100277.26,366745.65
EMP-0050,IT,Desarrollador,Medio Tiempo,2014-07-23,103250.91,32668.28,135919.19
EMP-0051,IT,Científico de Datos,Contratado,2016-03-27,226964.14,78521.75,305485.89
EMP-0052,Ventas,Representante de Ventas,Contratado,2021-07-31,52547.44,16729.74,69277.18000000001
EMP-0053,Producción,Ingeniero de Procesos,Medio Tiempo,2014-02-26,65811.22,23498.68,89309.9
EMP-0054,Producción,Ingeniero de Procesos,Medio Tiempo,2020-09-27,94849.05,30746.0,125595.05
EMP-0055,IT,Desarrollador,Contratado,2023-06-29,149139.69,54292.16,203431.85
EMP-0056,Ventas,Representante de Ventas,Contratado,2022-07-14,84060.1,29473.23,113533.33
EMP-0057,Producción,Ingeniero de Procesos,Contratado,2014-04-13,74505.37,24488.39,98993.76
EMP-0058,RRHH,Reclutador,Contratado,2024-02-20,108153.79,32727.11,140880.9
EMP-0059,Ventas,Gerente de Ventas,Tiempo Completo,2018-06-04,144727.75,45883.55,190611.3
EMP-0060,Administración,Asistente Administrativo,Tiempo Completo,2023-05-22,111307.63,39061.42,150369.05
EMP-0061,Producción,Operario,Tiempo Completo,2013-06-25,50033.49,14927.04,64960.53
EMP-0062,Producción,Supervisor de Producción,Tiempo Completo,2017-10-30,301755.24,86551.4,388306.64
EMP-0063,Ventas,Gerente de Ventas,Contratado,2022-07-15,144542.64,46554.42,191097.06
EMP-0064,Finanzas,Analista Financiero,Medio Tiempo,2018-07-06,51840.5,16888.17,68728.67
EMP-0065,IT,Soporte TI,Medio Tiempo,2013-01-18,99545.7,30156.82,129702.51999999999
EMP-0066,Logística,Operario de Bodega,Tiempo Completo,2019-05-17,89820.45,26989.49,116809.94
EMP-0067,Administración,Asistente Administrativo,Contratado,2024-07-23,119845.68,44912.07,164757.75
EMP-0068,Marketing,Analista de Marketing,Tiempo Completo,2011-08-23,116879.5,42855.36,159734.86
EMP-0069,Ventas,Representante de Ventas,Tiempo Completo,2021-07-03,61844.28,19240.2,81084.48
EMP-0070,Marketing,Especialista de Marketing,Contratado,2022-12-27,86527.14,24628.35,111155.48999999999
